id,score
1,89
2,89
3,115
4,140
5,85
6,119
7,102
8,141
9,73
10,92
11,90
12,60
13,137
14,134
15,71
16,134
17,79
18,99
19,99
20,75
21,122
22,97
23,136
24,95
25,94
26,108
27,100
28,100
29,118
30,82
31,115
32,117
33,126
34,129
35,154
36,126
37,88
38,105
39,97
40,89
41,100
42,135
43,88
44,117
45,139
46,85
47,84
48,107
49,101
50,95
51,86
52,129
53,91
54,84
55,84
56,97
57,128
58,91
59,106
60,118
61,119
62,72
63,97
64,105
65,123
66,88
67,112
68,122
69,108
70,91
71,104
72,144
73,84
74,109
75,103
76,104
77,97
78,68
79,102
80,88
81,107
82,91
83,111
84,75
85,101
86,77
87,104
88,117
89,107
90,127
91,139
92,126
93,115
94,137
95,112
96,94
97,127
98,91
99,95
100,97
101,106
102,84
103,94
104,84
105,88
106,107
107,125
108,78
109,101
110,117
111,84
112,111
113,107
114,116
115,80
116,101
117,105
118,124
119,102
120,69
121,110
122,101
123,103
124,96
125,99
126,93
127,78
128,99
129,103
130,77
131,110
132,63
133,106
134,92
135,120
136,77
137,98
138,94
139,92
140,104
141,87
142,74
143,121
144,100
145,85
146,84
147,88
148,82
149,126
150,95
151,112
152,103
153,102
154,117
155,110
156,80
157,87
158,54
159,92
160,111
161,74
162,90
163,94
164,89
165,89
166,123
167,83
168,89
169,84
170,110
171,93
172,107
173,92
174,115
175,94
176,86
177,100
178,75
179,113
180,90
181,109
182,84
183,116
184,107
185,94
186,84
187,74
188,89
189,64
190,80
191,116
192,73
193,92
194,63
195,84
196,64
197,86
198,87
199,112
200,126
201,82
202,91
203,92
204,52
205,52
206,99
207,64
208,49
209,122
210,107
211,71
212,98
213,111
214,122
215,130
216,107
217,92
218,95
219,70
220,84
221,88
222,97
223,100
224,94
225,76
226,87
227,68
228,80
229,66
230,92
231,95
232,85
233,115
234,91
235,89
236,83
237,82
238,77
239,89
240,79
241,77
242,105
243,88
244,86
245,88
246,70
247,95
248,70
249,85
250,130
251,80
252,105
253,140
254,92
255,86
256,91
257,82
258,77
259,101
260,94
261,93
262,85
263,71
264,94
265,79
266,53
267,103
268,73
269,31
270,126
271,74
272,96
273,105
274,102
275,92
276,111
277,77
278,83
279,88
280,86
281,116
282,87
283,93
284,114
285,87
286,79
287,73
288,99
289,81
290,67
291,57
292,90
293,76
294,83
295,97
296,112
297,95
298,112
299,91
300,89
301,72
302,93
303,73
304,84
305,89
306,72
307,87
308,89
309,90
310,65
311,108
312,106
313,114
314,89
315,83
316,75
317,82
318,95
319,67
320,84
321,81
322,95
323,83
324,111
325,60
326,75
327,85
328,88
329,70
330,84
331,95
332,73
333,88
334,88
335,71
336,82
337,82
338,94
339,100
340,90
341,82
342,119
343,77
344,92
345,88
346,62
347,83
348,88
349,77
350,102
351,71
352,107
353,72
354,90
355,95
356,72
357,85
358,65
359,88
360,88
361,82
362,80
363,89
364,114
365,107
366,91
367,64
368,81
369,89
370,68
371,85
372,67
373,81
374,79
375,78
376,76
377,70
378,96
379,72
380,51
381,77
382,57
383,88
384,58
385,51
386,85
387,80
388,74
389,65
390,74
391,65
392,75
393,73
394,81
395,83
396,70
397,74
398,67
399,76
400,64
401,61
402,77
403,77
404,85
405,61
